email,company,region,country,agent_type,priority_tier,contact_role,status,trigger_segment,last_contact,notes
partnerships@virtuoso.com,Virtuoso,USA,USA,NETWORK,A,partnerships,not-contacted,us_luxury,,
preferred@virtuoso.com,Virtuoso,USA,USA,NETWORK,A,preferred_supplier,not-contacted,us_luxury,,
contracting@virtuoso.com,Virtuoso,USA,USA,NETWORK,A,contracting,not-contacted,us_luxury,,
product@virtuoso.com,Virtuoso,USA,USA,NETWORK,A,product,not-contacted,us_luxury,,
partners@signaturetravelnetwork.com,Signature Travel Network,USA,USA,NETWORK,A,partnerships,not-contacted,us_luxury,,
preferred@signaturetravelnetwork.com,Signature Travel Network,USA,USA,NETWORK,A,preferred_supplier,not-contacted,us_luxury,,
contracting@signaturetravelnetwork.com,Signature Travel Network,USA,USA,NETWORK,A,contracting,not-contacted,us_luxury,,
product@signaturetravelnetwork.com,Signature Travel Network,USA,USA,NETWORK,A,product,not-contacted,us_luxury,,
partnerships@travelleaders.com,Travel Leaders Group,USA,USA,NETWORK,A,partnerships,not-contacted,us_luxury,,
preferred@travelleaders.com,Travel Leaders Group,USA,USA,NETWORK,A,preferred_supplier,not-contacted,us_luxury,,
contracting@travelleaders.com,Travel Leaders Group,USA,USA,NETWORK,A,contracting,not-contacted,us_luxury,,
product@travelleaders.com,Travel Leaders Group,USA,USA,NETWORK,A,product,not-contacted,us_luxury,,
contracting@abercrombiekent.com,Abercrombie & Kent USA,USA,USA,LUXURY_OPERATOR,A,contracting,not-contacted,us_luxury,,
product@abercrombiekent.com,Abercrombie & Kent USA,USA,USA,LUXURY_OPERATOR,A,product,not-contacted,us_luxury,,
sales@abercrombiekent.com,Abercrombie & Kent USA,USA,USA,LUXURY_OPERATOR,A,sales,not-contacted,us_luxury,,
reservations@abercrombiekent.com,Abercrombie & Kent USA,USA,USA,LUXURY_OPERATOR,A,reservations,not-contacted,us_luxury,,
contracting@classicvacations.com,Classic Vacations,USA,USA,TOUR_OPERATOR,A,contracting,not-contacted,us_luxury,,
product@classicvacations.com,Classic Vacations,USA,USA,TOUR_OPERATOR,A,product,not-contacted,us_luxury,,
sales@classicvacations.com,Classic Vacations,USA,USA,TOUR_OPERATOR,A,sales,not-contacted,us_luxury,,
reservations@classicvacations.com,Classic Vacations,USA,USA,TOUR_OPERATOR,A,reservations,not-contacted,us_luxury,,
contracting@applevacations.com,Apple Vacations,USA,USA,TOUR_OPERATOR,B,contracting,not-contacted,us_luxury,,
product@applevacations.com,Apple Vacations,USA,USA,TOUR_OPERATOR,B,product,not-contacted,us_luxury,,
sales@applevacations.com,Apple Vacations,USA,USA,TOUR_OPERATOR,B,sales,not-contacted,us_luxury,,
reservations@applevacations.com,Apple Vacations,USA,USA,TOUR_OPERATOR,B,reservations,not-contacted,us_luxury,,
partners@journese.com,Journese,USA,USA,NETWORK,B,partnerships,not-contacted,us_luxury,,
preferred@journese.com,Journese,USA,USA,NETWORK,B,preferred_supplier,not-contacted,us_luxury,,
contracting@journese.com,Journese,USA,USA,NETWORK,B,contracting,not-contacted,us_luxury,,
product@journese.com,Journese,USA,USA,NETWORK,B,product,not-contacted,us_luxury,,
contracting@brownelltravel.com,Brownell Travel,USA,USA,LUXURY_AGENT,A,contracting,not-contacted,us_luxury,,
product@brownelltravel.com,Brownell Travel,USA,USA,LUXURY_AGENT,A,product,not-contacted,us_luxury,,
sales@brownelltravel.com,Brownell Travel,USA,USA,LUXURY_AGENT,A,sales,not-contacted,us_luxury,,
reservations@brownelltravel.com,Brownell Travel,USA,USA,LUXURY_AGENT,A,reservations,not-contacted,us_luxury,,
contracting@andbeyond.com,&Beyond,USA,USA,LUXURY_OPERATOR,A,contracting,not-contacted,us_luxury,,
product@andbeyond.com,&Beyond,USA,USA,LUXURY_OPERATOR,A,product,not-contacted,us_luxury,,
sales@andbeyond.com,&Beyond,USA,USA,LUXURY_OPERATOR,A,sales,not-contacted,us_luxury,,
reservations@andbeyond.com,&Beyond,USA,USA,LUXURY_OPERATOR,A,reservations,not-contacted,us_luxury,,
contracting@remoteafrica.com,Remote Africa,USA,USA,LUXURY_AGENT,A,contracting,not-contacted,us_luxury,,
product@remoteafrica.com,Remote Africa,USA,USA,LUXURY_AGENT,A,product,not-contacted,us_luxury,,
sales@remoteafrica.com,Remote Africa,USA,USA,LUXURY_AGENT,A,sales,not-contacted,us_luxury,,
partnerships@internova.com,Internova Travel,USA,USA,NETWORK,A,partnerships,not-contacted,us_luxury,,
contracting@cvc.com.br,CVC Corp,LATAM,Brazil,TOUR_OPERATOR,A,contracting,not-contacted,latam_honeymoon,,
product@cvc.com.br,CVC Corp,LATAM,Brazil,TOUR_OPERATOR,A,product,not-contacted,latam_honeymoon,,
sales@cvc.com.br,CVC Corp,LATAM,Brazil,TOUR_OPERATOR,A,sales,not-contacted,latam_honeymoon,,
reservations@cvc.com.br,CVC Corp,LATAM,Brazil,TOUR_OPERATOR,A,reservations,not-contacted,latam_honeymoon,,
contracting@decolar.com,Decolar,LATAM,Argentina,OTA,A,contracting,not-contacted,latam_honeymoon,,
product@decolar.com,Decolar,LATAM,Argentina,OTA,A,product,not-contacted,latam_honeymoon,,
sales@decolar.com,Decolar,LATAM,Argentina,OTA,A,sales,not-contacted,latam_honeymoon,,
reservations@decolar.com,Decolar,LATAM,Argentina,OTA,A,reservations,not-contacted,latam_honeymoon,,
contracting@bestday.com,Best Day Travel,LATAM,Mexico,TOUR_OPERATOR,B,contracting,not-contacted,latam_honeymoon,,
product@bestday.com,Best Day Travel,LATAM,Mexico,TOUR_OPERATOR,B,product,not-contacted,latam_honeymoon,,
sales@bestday.com,Best Day Travel,LATAM,Mexico,TOUR_OPERATOR,B,sales,not-contacted,latam_honeymoon,,
reservations@bestday.com,Best Day Travel,LATAM,Mexico,TOUR_OPERATOR,B,reservations,not-contacted,latam_honeymoon,,
contracting@pricetravel.com.mx,PriceTravel,LATAM,Mexico,TOUR_OPERATOR,B,contracting,not-contacted,latam_honeymoon,,
product@pricetravel.com.mx,PriceTravel,LATAM,Mexico,TOUR_OPERATOR,B,product,not-contacted,latam_honeymoon,,
sales@pricetravel.com.mx,PriceTravel,LATAM,Mexico,TOUR_OPERATOR,B,sales,not-contacted,latam_honeymoon,,
reservations@pricetravel.com.mx,PriceTravel,LATAM,Mexico,TOUR_OPERATOR,B,reservations,not-contacted,latam_honeymoon,,
contracting@agaxtur.com.br,Agaxtur,LATAM,Brazil,TOUR_OPERATOR,B,contracting,not-contacted,latam_honeymoon,,
product@agaxtur.com.br,Agaxtur,LATAM,Brazil,TOUR_OPERATOR,B,product,not-contacted,latam_honeymoon,,
sales@agaxtur.com.br,Agaxtur,LATAM,Brazil,TOUR_OPERATOR,B,sales,not-contacted,latam_honeymoon,,
reservations@agaxtur.com.br,Agaxtur,LATAM,Brazil,TOUR_OPERATOR,B,reservations,not-contacted,latam_honeymoon,,
contracting@queensberry.com.br,Queensberry,LATAM,Brazil,LUXURY_AGENT,A,contracting,not-contacted,latam_honeymoon,,
product@queensberry.com.br,Queensberry,LATAM,Brazil,LUXURY_AGENT,A,product,not-contacted,latam_honeymoon,,
sales@queensberry.com.br,Queensberry,LATAM,Brazil,LUXURY_AGENT,A,sales,not-contacted,latam_honeymoon,,
reservations@queensberry.com.br,Queensberry,LATAM,Brazil,LUXURY_AGENT,A,reservations,not-contacted,latam_honeymoon,,
contracting@despegar.com,Despegar,LATAM,Argentina,OTA,A,contracting,not-contacted,latam_honeymoon,,
product@despegar.com,Despegar,LATAM,Argentina,OTA,A,product,not-contacted,latam_honeymoon,,
sales@despegar.com,Despegar,LATAM,Argentina,OTA,A,sales,not-contacted,latam_honeymoon,,
contracting@viajanet.com.br,ViajaNet,LATAM,Brazil,OTA,B,contracting,not-contacted,latam_honeymoon,,
